education,experience,industry,interest,location,lookin4,offer,skill,uid
,,"111,38,85",,France,"Exchange of Ideas,Service/Product Providers","Exchange of Ideas,Job Positions,Services/Products",,59f70bec2706222d006f296b
,,47,,Russian Federation,"Clients,Exchange of Ideas",Investment Opportunity,,59f70bee2706222d006f296c
,,47,,Russian Federation,Clients,Co-founders,,59f70bf02706222d006f296d
,,"96,30,8,59,144",,"Lyon Area, France","A New Job,A Mentor,Business Partner,I am hiring,Professional Networking,Co-founders,Service/Product Providers","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Investment,Mentorship",,59f70bf22706222d006f296e
,,"96,59,144,57,147",,"Istanbul, Turkey","Exchange of Ideas,Investment Opportunities,I am hiring,Professional Networking,Industry Expertise,Clients","Business Partner,Consultancy Work,Exchange of Ideas,Industry Expertise,Investment Opportunity,Job Positions,Mentorship,Professional Networking",,59f70bf32706222d006f296f
,,"5,4",,Vietnam,"A New Job,Business Partner,Clients,Exchange of Ideas,Co-founders,A Mentor","Consultancy Work,Freelancing",,59f70bf52706222d006f2970
,,"4,99,6,123,5,118",,Ukraine,"Business Partner,I am hiring,Professional Networking,Projects,Service/Product Providers,Investment Opportunities,Internship,Industry Expertise,Funding,Exchange of Ideas,Co-founders,Clients,A Mentor","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Internship,Investment,Investment Opportunity,Job Positions,Mentorship,Professional Networking,Services/Products,Socializing",,59f70bf82706222d006f2971
,,"52,50,19,127,47",,Armenia,"Business Partner,Clients,Co-founders,Exchange of Ideas,Funding,A New Job,A Mentor","Freelancing,Industry Expertise,Internship",,59f70bfa2706222d006f2972
,,4,,Lithuania,"Internship,Investment Opportunities,I am hiring,Professional Networking","Business Partner,Industry Expertise",,59f70bfc2706222d006f2973
,,"50,47,125",,Russian Federation,"A New Job,Co-founders,Clients,Business Partner,A Mentor","Exchange of Ideas,Freelancing,Investment Opportunity",,59f70bfe2706222d006f2974
,,80,,"Barcelona Area, Spain","A Mentor,A New Job,Exchange of Ideas,I am hiring,Professional Networking","Exchange of Ideas,Mentorship,Job Positions,Business Partner,Investment,Socializing,Professional Networking",,59f70c002706222d006f2975
,,"23,27",,Turkey,A New Job,,,59f70c022706222d006f2976
,,"41,91,43,42,45",,"Paris Area, France","Business Partner,Clients,Exchange of Ideas,Internship,I am hiring,Service/Product Providers","Exchange of Ideas,Industry Expertise,Mentorship,Professional Networking,Services/Products",,59f70c032706222d006f2977
,,47,,Armenia,"Clients,A New Job,A Mentor","Business Partner,Exchange of Ideas,Freelancing,Co-founders",,59f70c052706222d006f2978
,,"47,94,120,125,127,19,50,111,53,52,41,12,36,49,138,129,54,90,51,118,128,4,109,3,5,48,24,25,91",,Armenia,"A New Job,A Mentor,Clients,Business Partner,Co-founders,Exchange of Ideas,Funding,Industry Expertise,Internship,Investment Opportunities,I am hiring,Projects,Professional Networking,Service/Product Providers","Business Partner,Co-founders,Exchange of Ideas,Consultancy Work,Freelancing,Industry Expertise,Internship,Investment,Investment Opportunity,Job Positions,Mentorship,Professional Networking,Services/Products,Socializing",,59f70c072706222d006f2979
,,"41,129,128,43,42",,"Lyon Area, France","Clients,Exchange of Ideas,I am hiring,Service/Product Providers,Business Partner","Business Partner,Consultancy Work,Exchange of Ideas,Mentorship,Services/Products",,59f70c092706222d006f297a
,,"4,118,28,140,96,84,8",,"Lubbock, Texas Area","Exchange of Ideas,Co-founders,Investment Opportunities,I am hiring,Professional Networking","Freelancing,Industry Expertise,Mentorship,Services/Products,Co-founders,Business Partner,Consultancy Work,Job Positions",,59f70c0b2706222d006f297b
,,"120,50,19,127,125,53,111,94,16,106,59,92,103,133,142",,Ukraine,"A New Job,A Mentor,Business Partner,Clients,Co-founders,Exchange of Ideas,Funding,Industry Expertise,Internship,Investment Opportunities,I am hiring,Professional Networking,Projects,Service/Product Providers","Co-founders,Investment,Industry Expertise,Freelancing",,59f70c0c2706222d006f297c
,,"47,94,120,125,127",,Ukraine,"A New Job,A Mentor,Business Partner,Clients,Co-founders","Business Partner,Consultancy Work,Co-founders,Exchange of Ideas,Freelancing",,59f70c0e2706222d006f297d
,,"96,99",,Ukraine,"Clients,Exchange of Ideas,Funding,Professional Networking,Service/Product Providers,A Mentor,Industry Expertise,Business Partner","Socializing,Services/Products,Professional Networking,Job Positions,Investment,Freelancing,Exchange of Ideas,Consultancy Work,Business Partner",,59f70c0f2706222d006f297e
,,"80,59,144,47,43,57",,"Paris Area, France","I am hiring,Exchange of Ideas,Industry Expertise","Business Partner,Exchange of Ideas,Industry Expertise,Job Positions,Mentorship,Services/Products,Socializing",,59f70c112706222d006f297f
,,"75,74,141,79",,Washington D.C. Metro Area,"Exchange of Ideas,I am hiring,Service/Product Providers","Consultancy Work,Business Partner,Freelancing,Exchange of Ideas,Industry Expertise,Job Positions,Mentorship,Services/Products,Socializing",,59f70c132706222d006f2980
,,"111,99,38",,Greater Boston Area,"Service/Product Providers,A Mentor,Exchange of Ideas,Industry Expertise","Freelancing,Mentorship,Consultancy Work",,59f70c152706222d006f2981
,,"137,6,44,106",,"Milan Area, Italy","Internship,Investment Opportunities,I am hiring,Co-founders","Internship,Investment Opportunity,Mentorship",,59f70c172706222d006f2982
,,"76,97,57,105,144",,"Paris Area, France","A New Job,A Mentor,Business Partner,Clients,Exchange of Ideas,Funding,Industry Expertise,Internship","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Job Positions",,59f70c192706222d006f2983
,,,,Ukraine,,,,59f70c1a2706222d006f2984
,,4,,Ukraine,"A Mentor,Business Partner,Exchange of Ideas",Exchange of Ideas,,59f70c1c2706222d006f2985
,,"47,94",,Ukraine,"A New Job,A Mentor,Business Partner,Clients,Investment Opportunities","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas",,59f70c1d2706222d006f2986
,,"128,43,63,101,137",,"Zürich Area, Switzerland",I am hiring,Investment,,59f70c1f2706222d006f2987
,,"110,38,127,100,80,101,28",,"Marseille Area, France","I am hiring,Service/Product Providers,Professional Networking,Exchange of Ideas,Funding,Clients,A New Job","Exchange of Ideas,Professional Networking,Mentorship,Services/Products,Socializing,Freelancing",,59f70c222706222d006f2988
,,"96,80,113",,"Amsterdam Area, Netherlands","I am hiring,Exchange of Ideas","Exchange of Ideas,Industry Expertise,Professional Networking",,59f70c242706222d006f2989
,,"105,104",,"Paris Area, France","Clients,Investment Opportunities","Investment Opportunity,Job Positions,Socializing",,59f70c262706222d006f298a
,,"138,49,48,28,1,110,134,141,30,17,71,44,108,103,31",,Finland,"Clients,I am hiring,Professional Networking,Investment Opportunities,Projects,Exchange of Ideas","Freelancing,Professional Networking,Services/Products",,59f70c282706222d006f298b
,,"23,34,17",,Greater San Diego Area,Clients,"Industry Expertise,Business Partner,Exchange of Ideas,Professional Networking",,59f70c2a2706222d006f298c
,,12,,N/A,Exchange of Ideas,"Business Partner,Exchange of Ideas",,59f70c2b2706222d006f298d
,,142,,Greater New York City Area,"Service/Product Providers,Clients,I am hiring","Exchange of Ideas,Services/Products,Professional Networking",,59f70c2d2706222d006f298e
,,"36,126,35,113,127",,"Paris Area, France","Co-founders,I am hiring,Clients,Business Partner,Exchange of Ideas","Co-founders,Business Partner,Exchange of Ideas,Professional Networking,Services/Products,Socializing",,59f70c2e2706222d006f298f
,,"19,4",,Greater San Diego Area,Business Partner,"Co-founders,Professional Networking",,59f70c302706222d006f2990
,,4,,Ukraine,A New Job,Business Partner,,59f70c312706222d006f2991
,,"19,111,18,28,137,74,113",,"Paris Area, France",,,,59f70c332706222d006f2992
,,"19,18,96,80",,"Paris Area, France","A Mentor,Co-founders,Internship,Service/Product Providers","Mentorship,Services/Products,Exchange of Ideas,Co-founders",,59f70c352706222d006f2993
,,"47,34,31,32,142",,Russian Federation,"Exchange of Ideas,I am hiring,Internship","Mentorship,Internship,Exchange of Ideas",,59f70c372706222d006f2994
,,"41,129,45,46",,Luxembourg,"Exchange of Ideas,I am hiring,Service/Product Providers,Projects","Exchange of Ideas,Industry Expertise,Services/Products",,59f70c392706222d006f2995
,,84,,"Paris Area, France",Clients,"Co-founders,Mentorship",,59f70c3c2706222d006f2996
,,"41,129,43",,"Paris Area, France","I am hiring,Service/Product Providers","Internship,Services/Products,Socializing,Mentorship",,59f70c3e2706222d006f2997
,,"41,43,96,45,46",,"Paris Area, France","A New Job,Exchange of Ideas,Clients,I am hiring,Professional Networking","Exchange of Ideas,Freelancing,Consultancy Work,Professional Networking,Socializing,Mentorship",,59f70c402706222d006f2998
,,,,"The Hague Area, Netherlands","Co-founders,Business Partner,Internship,I am hiring","Consultancy Work,Industry Expertise,Mentorship,Socializing,Business Partner,Co-founders,Freelancing",,59f70c422706222d006f2999
,,"4,24,91,110,29",,N/A,"A New Job,A Mentor","Consultancy Work,Exchange of Ideas,Freelancing,Socializing",,59f70c442706222d006f299a
,,"127,109,4,140,6,35",,"Cracow, Lesser Poland District, Poland","Business Partner,Co-founders,Exchange of Ideas,Funding,Investment Opportunities,I am hiring,Professional Networking,Clients","Business Partner,Co-founders,Exchange of Ideas,Industry Expertise,Investment,Mentorship,Investment Opportunity",,59f70c452706222d006f299b
,,"4,101,96,6,8",,Croatia,"Funding,A Mentor,Exchange of Ideas,Internship,I am hiring","Consultancy Work,Exchange of Ideas,Industry Expertise,Job Positions,Services/Products",,59f70c472706222d006f299c
,,"94,28,110,38,31,97,126,80,37,35,115,39,105,98,8,103",,"Paris Area, France","Clients,Exchange of Ideas,Industry Expertise,Investment Opportunities,A Mentor,Professional Networking,Projects,Service/Product Providers,I am hiring,Internship,Funding,Co-founders,Business Partner,A New Job","Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Job Positions",,59f70c492706222d006f299d
,,"19,99,26,143,136,113",,"Paris Area, France","Clients,Exchange of Ideas,I am hiring,Service/Product Providers,Funding","Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Job Positions,Socializing",,59f70c4a2706222d006f299e
,,"99,60,27,98",,"London, United Kingdom","A New Job,Clients,Exchange of Ideas,Industry Expertise,I am hiring,Professional Networking,Service/Product Providers","Exchange of Ideas,Freelancing,Internship,Services/Products,Socializing",,59f70c4c2706222d006f299f
,,"12,124,15,70,130",,"Paris Area, France","A New Job,Clients,Exchange of Ideas,I am hiring","Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Mentorship,Socializing",,59f70c4e2706222d006f29a0
,,"47,94,120,125",,Ukraine,"A New Job,A Mentor,Business Partner,Clients","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas",,59f70c4f2706222d006f29a1
,,47,,Ukraine,"A New Job,A Mentor,Business Partner,Clients","Business Partner,Consultancy Work,Freelancing,Investment Opportunity,Job Positions",,59f70c502706222d006f29a2
,,"47,94,120",,Ukraine,"A New Job,A Mentor,Business Partner,Clients","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas",,59f70c512706222d006f29a3
,,127,,Ukraine,"A New Job,A Mentor,Business Partner,Clients,Co-founders","Business Partner,Exchange of Ideas,Freelancing,Investment Opportunity,Job Positions",,59f70c522706222d006f29a4
,,127,,Ukraine,"A New Job,A Mentor,Business Partner,Clients","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas,Investment Opportunity",,59f70c542706222d006f29a5
,,"47,94,125,19,4",,Ukraine,"A New Job,A Mentor,Business Partner,Clients","Business Partner,Co-founders,Exchange of Ideas,Freelancing",,59f70c562706222d006f29a6
,,"47,94,120",,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work",,59f70c572706222d006f29a7
,,"53,47,94,120",,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work",,59f70c582706222d006f29a8
,,"15,47,94,120",,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work",,59f70c5a2706222d006f29a9
,,"47,94",,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Freelancing,Consultancy Work",,59f70c5b2706222d006f29aa
,,94,,Ukraine,"A New Job,A Mentor,Co-founders,Clients,Business Partner","Co-founders,Business Partner,Consultancy Work,Exchange of Ideas,Industry Expertise",,59f70c5e2706222d006f29ab
,,"47,94",,Ukraine,"A New Job,Business Partner,A Mentor","Business Partner,Co-founders,Consultancy Work",,59f70c602706222d006f29ac
,,"47,4",,Ukraine,"A New Job,Clients,Business Partner,A Mentor","Business Partner,Co-founders,Exchange of Ideas,Consultancy Work",,59f70c622706222d006f29ad
,,4,,Ukraine,"A New Job,A Mentor,Business Partner,Clients","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas",,59f70c642706222d006f29ae
,,"41,47",,Ukraine,"A New Job,A Mentor,Clients,Co-founders,Business Partner","Business Partner,Co-founders,Investment Opportunity,Consultancy Work,Freelancing",,59f70c652706222d006f29af
,,"53,132,76,80",,"Oxford, United Kingdom",A New Job,"Industry Expertise,Freelancing,Consultancy Work",,59f70c672706222d006f29b0
,,"69,132",,"Paris Area, France","Clients,Service/Product Providers,Professional Networking,I am hiring","Professional Networking,Freelancing,Business Partner",,59f70c692706222d006f29b1
,,"125,52,94,127,120",,Ukraine,"A New Job,Business Partner","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas,Freelancing",,59f70c6b2706222d006f29b2
,,"99,47",,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work",,59f70c6d2706222d006f29b3
,,"4,47,120,125",,Ukraine,"A New Job,A Mentor,Business Partner,Internship","Business Partner,Co-founders,Consultancy Work,Freelancing,Investment Opportunity",,59f70c6e2706222d006f29b4
,,"47,94,120",,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work",,59f70c702706222d006f29b5
,,4,,Ukraine,"A New Job,A Mentor",Business Partner,,59f70c722706222d006f29b6
,,"47,94,120",,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work",,59f70c752706222d006f29b7
,,"19,53,3,5,4,24,25,91,132,69,28,76,96,84,6,80,115,27,8",,"Barcelona Area, Spain","A New Job,A Mentor,I am hiring,Service/Product Providers,Exchange of Ideas","Exchange of Ideas,Services/Products,Socializing,Mentorship",,59f70c762706222d006f29b8
,,"47,94,120",,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Consultancy Work,Exchange of Ideas,Co-founders",,59f70c782706222d006f29b9
,,"98,80,103,140,127",,N/A,"Business Partner,Clients,Exchange of Ideas,Funding,I am hiring","Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Professional Networking",,59f70c7a2706222d006f29ba
,,"43,46,141,30,57,44,33,92,93,133,8,95,97,55,45,134,31,23,34,101,38,66,63,24,48,128,51,138,49,47",,Greater New York City Area,"Professional Networking,Internship,Funding,Clients,Business Partner,A New Job,Exchange of Ideas,I am hiring,Projects,Service/Product Providers","Services/Products,Internship,Investment,Business Partner,Consultancy Work,Exchange of Ideas",,59f70c7b2706222d006f29bb
,,"47,94,120",,Ukraine,"A New Job,A Mentor,Business Partner,Clients","Business Partner,Co-founders,Consultancy Work",,59f70c7d2706222d006f29bc
,,53,,Ukraine,"A Mentor,A New Job,Business Partner,Clients","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas,Freelancing",,59f70c802706222d006f29bd
,,"12,101,17,100,15",,Washington,"I am hiring,Business Partner,Co-founders,Industry Expertise,Professional Networking","Consultancy Work,Industry Expertise,Internship,Investment,Mentorship",,59f70c822706222d006f29be
,,96,,"Paris Area, France","Business Partner,Clients,Funding,Investment Opportunities,I am hiring,Service/Product Providers","Consultancy Work,Industry Expertise,Exchange of Ideas,Business Partner",,59f70c832706222d006f29bf
"Business  ",Cpo,"47,123","Design,Football / Soccer,French Language,French cuisine,Product Management",Paris,"Clients,Funding,Socializing,Professional Networking,A Mentor","Consultancy Work,Freelancing,Internship,Mentorship,Professional Networking",Git - Managing Branches,59f70c842706222d006f29c0
,,"108,103,109",,"Barcelona Area, Spain","A Mentor,Exchange of Ideas,Industry Expertise,I am hiring","Exchange of Ideas,Mentorship",,59f70c872706222d006f29c2
,,"141,128,34,44,27",,"Barcelona Area, Spain","A New Job,I am hiring","Consultancy Work,Exchange of Ideas,Industry Expertise,Mentorship,Socializing",,59f70c892706222d006f29c3
,,"12,15,70",,"Paris Area, France",Service/Product Providers,"Co-founders,Consultancy Work,Industry Expertise,Job Positions,Mentorship,Services/Products",,59f70c8a2706222d006f29c4
,,"43,76",,"Barcelona Area, Spain",Service/Product Providers,Exchange of Ideas,,59f70c8c2706222d006f29c5
,,"43,74,80,113,135",,"Lund, Sweden","Exchange of Ideas,I am hiring,Service/Product Providers","Exchange of Ideas,Mentorship,Services/Products",,59f70c8e2706222d006f29c6
,,"124,18,14,143,114",,N/A,"Business Partner,Clients,Investment Opportunities,I am hiring,Service/Product Providers","Business Partner,Freelancing,Mentorship,Professional Networking,Services/Products",,59f70c902706222d006f29c7
,,"47,108",,"Barcelona Area, Spain","Clients,Exchange of Ideas,Industry Expertise,I am hiring,Professional Networking","Consultancy Work,Freelancing,Professional Networking,Industry Expertise,Socializing",,59f70c922706222d006f29c8
,,80,,"Barcelona Area, Spain","Service/Product Providers,Clients,Exchange of Ideas,I am hiring,Professional Networking","Exchange of Ideas,Freelancing,Industry Expertise,Job Positions,Mentorship,Professional Networking,Services/Products",,59f70c942706222d006f29c9
,,"86,50",,"Barcelona Area, Spain","Clients,A Mentor","Consultancy Work,Freelancing,Socializing",,59f70c952706222d006f29ca
,,124,,"Barcelona Area, Spain","Clients,I am hiring,A Mentor","Consultancy Work,Professional Networking,Freelancing",,59f70c972706222d006f29cb
,,"99,50,38,143",,"Barcelona Area, Spain","Clients,A Mentor,I am hiring,Service/Product Providers,Professional Networking","Exchange of Ideas,Freelancing,Professional Networking,Socializing",,59f70c9a2706222d006f29cc
,,"80,98,108,106,103",,"Barcelona Area, Spain","A Mentor,Exchange of Ideas,Service/Product Providers,Professional Networking,A New Job","Exchange of Ideas,Freelancing,Industry Expertise,Services/Products,Socializing",,59f70c9c2706222d006f29cd
,,"140,80,108",,"Barcelona Area, Spain",I am hiring,Freelancing,,59f70c9e2706222d006f29ce
,,"94,110,14,8,142",,"Barcelona Area, Spain","A New Job,Service/Product Providers",Services/Products,,59f70ca02706222d006f29cf
,,"80,6,28",,"Barcelona Area, Spain","Exchange of Ideas,Industry Expertise,I am hiring,Service/Product Providers,Clients","Exchange of Ideas,Industry Expertise,Mentorship,Services/Products,Business Partner",,59f70ca12706222d006f29d0
,,80,,"Barcelona Area, Spain",Business Partner,Freelancing,,59f70ca32706222d006f29d1
,,"74,80",,Turkey,"Exchange of Ideas,I am hiring,Professional Networking,Service/Product Providers,Clients,A New Job","Exchange of Ideas,Consultancy Work,Mentorship,Services/Products,Socializing",,59f70ca52706222d006f29d2
,,"4,96",,"Barcelona Area, Spain",Service/Product Providers,"Exchange of Ideas,Job Positions,Services/Products",,59f70ca72706222d006f29d3
,,"4,109,99,132,69,110,63,140,31,84,96,6,30,80,100",,"Barcelona Area, Spain","Clients,Co-founders,Exchange of Ideas,A Mentor,Industry Expertise,I am hiring,Professional Networking,Projects,Service/Product Providers","Co-founders,Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Job Positions,Mentorship,Services/Products,Socializing",,59f70ca82706222d006f29d4
,,"8,118,5,96",,Mauritius,"A Mentor,Exchange of Ideas,Industry Expertise,I am hiring,Projects","Consultancy Work,Exchange of Ideas,Industry Expertise,Mentorship,Services/Products",,59f70caa2706222d006f29d5
,,"25,124,18,20,104",,"Barcelona Area, Spain","Business Partner,Clients,Co-founders,I am hiring,Service/Product Providers","Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Investment Opportunity,Mentorship,Professional Networking,Services/Products",,59f70cac2706222d006f29d6
,,"19,99,60",,"Barcelona Area, Spain","Business Partner,Exchange of Ideas,I am hiring,Professional Networking,Service/Product Providers","Mentorship,Services/Products,Socializing",,59f70cae2706222d006f29d7
,,"99,31,98",,"Milan Area, Italy","Business Partner,Clients,Exchange of Ideas,I am hiring,Projects,Service/Product Providers,Professional Networking","Services/Products,Business Partner",,59f70cb02706222d006f29d8
,,80,,N/A,"Business Partner,Clients,Co-founders,Exchange of Ideas,Funding,I am hiring,Service/Product Providers","Business Partner,Co-founders,Exchange of Ideas,Freelancing,Industry Expertise,Internship,Investment Opportunity,Mentorship,Professional Networking,Services/Products",,59f70cb12706222d006f29d9
,,"15,12,101,17,106",,Paris,"Industry Expertise,Internship,I am hiring,Professional Networking,Business Partner","Exchange of Ideas,Internship,Mentorship",,59f70cb32706222d006f29da
,,"96,84",,"London, United Kingdom","A New Job,A Mentor","Business Partner,Co-founders",,59f70cb52706222d006f29db
,,6,,"Barcelona Area, Spain","A New Job,Professional Networking,Service/Product Providers,I am hiring","Freelancing,Services/Products,Socializing",,59f70cb72706222d006f29dc
,,"36,28,35,103,136,80",,"Paris Area, France","Exchange of Ideas,I am hiring,Professional Networking,Service/Product Providers,A New Job","Socializing,Services/Products,Professional Networking",,59f70cb82706222d006f29dd
,,"70,114,12,54,57",,"Lyon Area, France","Clients,Exchange of Ideas,Funding,Industry Expertise,I am hiring","Business Partner,Mentorship,Professional Networking",,59f70cba2706222d006f29de
,,"47,94,120,125,127,19,50,111,53,52,41",,Ukraine,"A New Job,A Mentor,Business Partner,Clients,Co-founders,Industry Expertise,Internship,Funding,Exchange of Ideas,Investment Opportunities,I am hiring,Professional Networking,Projects,Service/Product Providers","Co-founders,Business Partner,Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Internship,Investment,Investment Opportunity,Job Positions,Mentorship",,59f70cbc2706222d006f29df
,,"116,48,43,46",,"Turin Area, Italy","Business Partner,Clients,Funding,Internship,A New Job","Business Partner,Consultancy Work,Exchange of Ideas,Industry Expertise,Investment",,59f70cbd2706222d006f29e0
,,"80,136,6",,N/A,A New Job,Co-founders,,59f70cbf2706222d006f29e1
,,"96,47,94,120,125",,Ukraine,"A Mentor,Business Partner,Clients,A New Job,Co-founders","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas,Freelancing",,59f70cc12706222d006f29e2
,,"8,7,70,43",,"Paris Area, France","Clients,Business Partner,Exchange of Ideas,I am hiring,Professional Networking","Consultancy Work,Job Positions,Professional Networking",,59f70cc32706222d006f29e3
,,"4,84,96,42,6",,"Warsaw, Masovian District, Poland","A New Job,A Mentor,Co-founders,Professional Networking,Service/Product Providers","Consultancy Work,Industry Expertise,Mentorship,Services/Products,Socializing",,59f70cc42706222d006f29e4
,,12,,"Nantes Area, France",I am hiring,Job Positions,,59f70cc62706222d006f29e5
,,"28,110,31,96",,"London, United Kingdom","A Mentor,Clients,Exchange of Ideas,Industry Expertise,I am hiring,Service/Product Providers","Exchange of Ideas,Mentorship",,59f70cc82706222d006f29e6
,,"6,80",,"Berlin Area, Germany","Business Partner,Clients,I am hiring,Professional Networking,Service/Product Providers","Business Partner,Industry Expertise,Mentorship,Services/Products,Socializing",,59f70cca2706222d006f29e7
,,115,,"London, United Kingdom","Clients,I am hiring,Professional Networking,A New Job","Freelancing,Socializing,Industry Expertise",,59f70ccb2706222d006f29e8
,,"25,80,27",,"Paris Area, France","A New Job,I am hiring","Investment Opportunity,Socializing,Mentorship",,59f70ccd2706222d006f29e9
,,"47,94,120",,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work",,59f70ccf2706222d006f29ea
,,"4,47,94,120,125",,Ukraine,"A New Job,A Mentor,Business Partner,Clients,Co-founders","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas,Freelancing",,59f70cd02706222d006f29eb
,,"118,4,132,96,6,80",,"Chandigarh Area, India","Clients,Co-founders,A New Job,Investment Opportunities,Professional Networking","Consultancy Work,Freelancing,Professional Networking,Socializing",,59f70cd22706222d006f29ec
,,"4,47,94",,Ukraine,"A Mentor,A New Job,Business Partner,Clients","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas",,59f70cd32706222d006f29ed
,,4,,"Bucharest, Romania",Service/Product Providers,"Services/Products,Socializing",,59f70cd72706222d006f29ee
,,127,,Ukraine,"A New Job,A Mentor,Business Partner","Internship,Investment",,59f70cd92706222d006f29ef
,,"12,114,15",,"Paris Area, France","Exchange of Ideas,I am hiring,Business Partner","Exchange of Ideas,Socializing,Co-founders",,59f70cda2706222d006f29f0
,,"94,52",,"Toulouse Area, France","I am hiring,Industry Expertise,A New Job","Industry Expertise,Mentorship",,59f70cdc2706222d006f29f1
,,6,,Taiwan,"A Mentor,Clients,Exchange of Ideas,Professional Networking,Service/Product Providers",Freelancing,,59f70cde2706222d006f29f2
,,,,"Indianapolis, Indiana Area",,,,59f70cdf2706222d006f29f3
,,"142,119,103",,Ukraine,"Professional Networking,Projects,Service/Product Providers","Professional Networking,Services/Products,Socializing",,59f70ce02706222d006f29f4
,,47,,Ukraine,A New Job,Business Partner,,59f70ce22706222d006f29f5
,,125,,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders",,59f70ce32706222d006f29f6
,,"103,119,142",,Ukraine,"Service/Product Providers,Projects,Professional Networking","Socializing,Services/Products,Professional Networking",,59f70ce52706222d006f29f7
,,"128,47",,Ukraine,A New Job,Business Partner,,59f70ce62706222d006f29f8
,,"47,94,120,125",,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas",,59f70ce92706222d006f29f9
,,"142,119,103",,Ukraine,"Professional Networking,Projects,Service/Product Providers","Professional Networking,Services/Products,Socializing,Exchange of Ideas",,59f70cea2706222d006f29fa
,,"12,125,68,14,139,15,70",,"Paris Area, France","I am hiring,A New Job",,,59f70cec2706222d006f29fb
,,"36,24,99,112,28,110,140,126,35,115,39,136,105",,"Orange County, California Area","A New Job,Clients,Exchange of Ideas,Funding,Investment Opportunities,I am hiring,Professional Networking,Projects,Service/Product Providers","Consultancy Work,Exchange of Ideas,Freelancing,Job Positions,Mentorship,Professional Networking,Services/Products,Socializing,Internship",,59f70cee2706222d006f29fc
,,"128,47",,Ukraine,"A New Job,Clients,Co-founders","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas",,59f70cf02706222d006f29fd
,,120,,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work,Investment Opportunity",,59f70cf22706222d006f29fe
,,94,,Ukraine,"A New Job,A Mentor,Business Partner,Clients,Co-founders","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas",,59f70cf52706222d006f29ff
,,36,,Ukraine,"A New Job,A Mentor,Business Partner,Clients","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas",,59f70cf62706222d006f2a00
,,124,,"Paris Area, France",A New Job,Socializing,,59f70cf82706222d006f2a01
,,"142,34",,"Jezreel Valley Area, Israel","Clients,Funding,I am hiring","Exchange of Ideas,Industry Expertise,Investment,Job Positions",,59f70cfc2706222d006f2a02
,,"4,140,123,102,104",,"Netanya Area, Israel","I am hiring,Clients","Consultancy Work,Freelancing,Socializing",,59f70cfd2706222d006f2a03
,,"4,101,96,6,123",,"Harghita County, Romania","Clients,Funding,Professional Networking","Business Partner,Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Professional Networking",,59f70cff2706222d006f2a04
,,"26,47,94",,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work",,59f70d012706222d006f2a05
,,"70,12,14,15,82",,"Paris Area, France","A New Job,A Mentor,Industry Expertise,Professional Networking,I am hiring","Socializing,Mentorship,Consultancy Work",,59f70d032706222d006f2a06
,,12,,"Paris Area, France","Co-founders,Exchange of Ideas","Co-founders,Exchange of Ideas",,59f70d042706222d006f2a07
